FUV,EUV,X-ray,Alpha
1.00E+31,1.00E+40,2.50E+28,5.00E-04
1.00E+31,1.00E+40,2.50E+28,6.61E-04
1.00E+31,1.00E+40,2.50E+28,8.75E-04
1.00E+31,1.00E+40,2.50E+28,1.16E-03
1.00E+31,1.00E+40,2.50E+28,1.53E-03
1.00E+31,1.00E+40,2.50E+28,2.02E-03
1.00E+31,1.00E+40,2.50E+28,2.68E-03
1.00E+31,1.00E+40,2.50E+28,3.54E-03
1.00E+31,1.00E+40,2.50E+28,4.68E-03
1.00E+31,1.00E+40,2.50E+28,6.19E-03
1.00E+31,1.00E+40,2.50E+28,8.18E-03
1.00E+31,1.00E+40,2.50E+28,1.08E-02
1.00E+31,1.00E+40,7.23E+28,5.00E-04
1.00E+31,1.00E+40,7.23E+28,6.61E-04
1.00E+31,1.00E+40,7.23E+28,8.75E-04
1.00E+31,1.00E+40,7.23E+28,1.16E-03
1.00E+31,1.00E+40,7.23E+28,1.53E-03
1.00E+31,1.00E+40,7.23E+28,2.02E-03
1.00E+31,1.00E+40,7.23E+28,2.68E-03
1.00E+31,1.00E+40,7.23E+28,3.54E-03
1.00E+31,1.00E+40,7.23E+28,4.68E-03
1.00E+31,1.00E+40,7.23E+28,6.19E-03
1.00E+31,1.00E+40,7.23E+28,8.18E-03
1.00E+31,1.00E+40,7.23E+28,1.08E-02
1.00E+31,1.00E+40,2.09E+29,5.00E-04
1.00E+31,1.00E+40,2.09E+29,6.61E-04
1.00E+31,1.00E+40,2.09E+29,8.75E-04
1.00E+31,1.00E+40,2.09E+29,1.16E-03
1.00E+31,1.00E+40,2.09E+29,1.53E-03
1.00E+31,1.00E+40,2.09E+29,2.02E-03
1.00E+31,1.00E+40,2.09E+29,2.68E-03
1.00E+31,1.00E+40,2.09E+29,3.54E-03
1.00E+31,1.00E+40,2.09E+29,4.68E-03
1.00E+31,1.00E+40,2.09E+29,6.19E-03
1.00E+31,1.00E+40,2.09E+29,8.18E-03
1.00E+31,1.00E+40,2.09E+29,1.08E-02
1.00E+31,1.00E+40,6.03E+29,5.00E-04
1.00E+31,1.00E+40,6.03E+29,6.61E-04
1.00E+31,1.00E+40,6.03E+29,8.75E-04
1.00E+31,1.00E+40,6.03E+29,1.16E-03
1.00E+31,1.00E+40,6.03E+29,1.53E-03
1.00E+31,1.00E+40,6.03E+29,2.02E-03
1.00E+31,1.00E+40,6.03E+29,2.68E-03
1.00E+31,1.00E+40,6.03E+29,3.54E-03
1.00E+31,1.00E+40,6.03E+29,4.68E-03
1.00E+31,1.00E+40,6.03E+29,6.19E-03
1.00E+31,1.00E+40,6.03E+29,8.18E-03
1.00E+31,1.00E+40,6.03E+29,1.08E-02
1.00E+31,1.00E+40,1.74E+30,5.00E-04
1.00E+31,1.00E+40,1.74E+30,6.61E-04
1.00E+31,1.00E+40,1.74E+30,8.75E-04
1.00E+31,1.00E+40,1.74E+30,1.16E-03
1.00E+31,1.00E+40,1.74E+30,1.53E-03
1.00E+31,1.00E+40,1.74E+30,2.02E-03
1.00E+31,1.00E+40,1.74E+30,2.68E-03
1.00E+31,1.00E+40,1.74E+30,3.54E-03
1.00E+31,1.00E+40,1.74E+30,4.68E-03
1.00E+31,1.00E+40,1.74E+30,6.19E-03
1.00E+31,1.00E+40,1.74E+30,8.18E-03
1.00E+31,1.00E+40,1.74E+30,1.08E-02
1.00E+31,1.00E+40,5.04E+30,5.00E-04
1.00E+31,1.00E+40,5.04E+30,6.61E-04
1.00E+31,1.00E+40,5.04E+30,8.75E-04
1.00E+31,1.00E+40,5.04E+30,1.16E-03
1.00E+31,1.00E+40,5.04E+30,1.53E-03
1.00E+31,1.00E+40,5.04E+30,2.02E-03
1.00E+31,1.00E+40,5.04E+30,2.68E-03
1.00E+31,1.00E+40,5.04E+30,3.54E-03
1.00E+31,1.00E+40,5.04E+30,4.68E-03
1.00E+31,1.00E+40,5.04E+30,6.19E-03
1.00E+31,1.00E+40,5.04E+30,8.18E-03
1.00E+31,1.00E+40,5.04E+30,1.08E-02
1.00E+31,1.00E+40,1.46E+31,5.00E-04
1.00E+31,1.00E+40,1.46E+31,6.61E-04
1.00E+31,1.00E+40,1.46E+31,8.75E-04
1.00E+31,1.00E+40,1.46E+31,1.16E-03
1.00E+31,1.00E+40,1.46E+31,1.53E-03
1.00E+31,1.00E+40,1.46E+31,2.02E-03
1.00E+31,1.00E+40,1.46E+31,2.68E-03
1.00E+31,1.00E+40,1.46E+31,3.54E-03
1.00E+31,1.00E+40,1.46E+31,4.68E-03
1.00E+31,1.00E+40,1.46E+31,6.19E-03
1.00E+31,1.00E+40,1.46E+31,8.18E-03
1.00E+31,1.00E+40,1.46E+31,1.08E-02
1.00E+31,1.00E+40,4.21E+31,5.00E-04
1.00E+31,1.00E+40,4.21E+31,6.61E-04
1.00E+31,1.00E+40,4.21E+31,8.75E-04
1.00E+31,1.00E+40,4.21E+31,1.16E-03
